| wave    | ion | NIST | Instr| amplitude | Source |
| 3008.07 | ArI | 1    |   32 | 68.2759   | sim    |
| 3022.38 | ArI | 1    |   32 | 27310.3   | sim    |
| 3024.36 | ArI | 1    |   32 | 6827.59   | sim    |
| 3026.5  | ArI | 1    |   32 | 682.759   | sim    |
| 3028.37 | ArI | 1    |   32 | 1365.52   | sim    |
| 3126.58 | ArI | 1    |   32 | 91034.5   | sim    |
| 3132.46 | ArI | 1    |   32 | 68275.9   | sim    |
| 3132.75 | ArI | 1    |   32 | 91034.5   | sim    |
| 3342.44 | ArI | 1    |   32 | 15931     | sim    |
| 3544.37 | ArI | 1    |   32 | 1365.52   | sim    |
| 3592.56 | ArI | 1    |   32 | 22.7586   | sim    |
| 3651.2  | ArI | 1    |   32 | 204828    | sim    |
| 3655.88 | ArI | 1    |   32 | 68275.9   | sim    |
| 3663.93 | ArI | 1    |   32 | 11379.3   | sim    |
| 3664.33 | ArI | 1    |   32 | 45517.2   | sim    |
| 3702.5  | ArI | 1    |   32 | 1137.93   | sim    |
| 3703.39 | ArI | 1    |   32 | 22.7586   | sim    |
| 3705.22 | ArI | 1    |   32 | 204.828   | sim    |
| 3791.09 | ArI | 1    |   32 | 1820.69   | sim    |
| 3802.74 | ArI | 1    |   32 | 1137.93   | sim    |
| 3816.9  | ArI | 1    |   32 | 22.7586   | sim    |
| 3821.46 | ArI | 1    |   32 | 1137.93   | sim    |
| 3862.06 | ArI | 1    |   32 | 682.759   | sim    |
| 3894.73 | ArI | 1    |   32 | 22.7586   | sim    |
| 3902.98 | ArI | 1    |   32 | 682.759   | sim    |
| 3904.74 | ArI | 1    |   32 | 11.3793   | sim    |
| 3907.49 | ArI | 1    |   32 | 910.345   | sim    |
| 3985.08 | ArI | 1    |   32 | 45.5172   | sim    |
| 4027.15 | ArI | 1    |   32 | 91.0345   | sim    |
| 4047.71 | ArI | 1    |   32 | 273103    | sim    |
| 4078.99 | ArI | 1    |   32 | 22758.6   | sim    |
| 4109.21 | ArI | 1    |   32 | 1593.1    | sim    |
| 4315.4  | ArI | 1    |   32 | 22.7586   | sim    |
| 4340.44 | ArI | 1    |   32 | 1137.93   | sim    |
| 4344.85 | ArI | 1    |   32 | 29.5862   | sim    |
| 4348.72 | ArI | 1    |   32 | 3413.79   | sim    |
| 4359.56 | ArI | 1    |   32 | 273103    | sim    |
| 4884.36 | ArI | 1    |   32 | 136.552   | sim    |
| 4917.42 | ArI | 1    |   32 | 455.172   | sim    |
| 4961.56 | ArI | 1    |   32 | 2275.86   | sim    |
| 4971.76 | ArI | 1    |   32 | 136.552   | sim    |
| 4982.03 | ArI | 1    |   32 | 136.552   | sim    |
| 5027.03 | ArI | 1    |   32 | 68.2759   | sim    |
| 5047.1  | ArI | 1    |   32 | 45.5172   | sim    |
| 5104.13 | ArI | 1    |   32 | 682.759   | sim    |
| 5122.06 | ArI | 1    |   32 | 1593.1    | sim    |
| 5139.37 | ArI | 1    |   32 | 682.759   | sim    |
| 5220.89 | ArI | 1    |   32 | 45.5172   | sim    |
| 5292.21 | ArI | 1    |   32 | 682.759   | sim    |
| 5318.26 | ArI | 1    |   32 | 136.552   | sim    |
| 5355.52 | ArI | 1    |   32 | 2958.62   | sim    |
| 5366.87 | ArI | 1    |   32 | 273.103   | sim    |
| 5386.12 | ArI | 1    |   32 | 1137.93   | sim    |
| 5406.33 | ArI | 1    |   32 | 68.2759   | sim    |
| 5462.27 | ArI | 1    |   32 | 136552    | sim    |
| 5551.18 | ArI | 1    |   32 | 1137.93   | sim    |
| 5677.46 | ArI | 1    |   32 | 13655.2   | sim    |
| 5771.21 | ArI | 1    |   32 | 22758.6   | sim    |
| 5791.29 | ArI | 1    |   32 | 682.759   | sim    |
| 5792.28 | ArI | 1    |   32 | 20482.8   | sim    |
| 5805.39 | ArI | 1    |   32 | 9103.45   | sim    |
| 5819.93 | ArI | 1    |   32 | 45.5172   | sim    |
| 5860.88 | ArI | 1    |   32 | 2958.62   | sim    |
| 5873.6  | ArI | 1    |   32 | 682.759   | sim    |
| 5891.8  | ArI | 1    |   32 | 273.103   | sim    |
| 6074.34 | ArI | 1    |   32 | 682.759   | sim    |
| 6124.94 | ArI | 1    |   32 | 68.2759   | sim    |
| 6236.07 | ArI | 1    |   32 | 1137.93   | sim    |
| 6703.95 | ArI | 1    |   32 | 45.5172   | sim    |
| 6718.22 | ArI | 1    |   32 | 13655.2   | sim    |
| 6726.64 | ArI | 1    |   32 | 22.7586   | sim    |
| 6753.26 | ArI | 1    |   32 | 45.5172   | sim    |
| 6774.44 | ArI | 1    |   32 | 22.7586   | sim    |
| 6787.04 | ArI | 1    |   32 | 91.0345   | sim    |
| 6813.16 | ArI | 1    |   32 | 45.5172   | sim    |
| 6829.03 | ArI | 1    |   32 | 113.793   | sim    |
| 6862.35 | ArI | 1    |   32 | 68.2759   | sim    |
| 6882.71 | ArI | 1    |   32 | 91.0345   | sim    |
| 6909.37 | ArI | 1    |   32 | 22758.6   | sim    |
| 6926.04 | ArI | 1    |   32 | 68.2759   | sim    |
| 6952.76 | ArI | 1    |   32 | 113.793   | sim    |
| 7011.02 | ArI | 1    |   32 | 91.0345   | sim    |
| 7047.48 | ArI | 1    |   32 | 182.069   | sim    |
| 7083.85 | ArI | 1    |   32 | 22758.6   | sim    |
| 7093.81 | ArI | 1    |   32 | 18206.9   | sim    |
| 7136.83 | ArI | 1    |   32 | 91.0345   | sim    |
| 7164.25 | ArI | 1    |   32 | 113.793   | sim    |
| 7179.75 | ArI | 1    |   32 | 227.586   | sim    |
| 7193.16 | ArI | 1    |   32 | 68.2759   | sim    |
| 7195.53 | ArI | 1    |   32 | 91.0345   | sim    |
| 7248.01 | ArI | 1    |   32 | 68.2759   | sim    |
| 7272.71 | ArI | 1    |   32 | 113.793   | sim    |
| 7296.91 | ArI | 1    |   32 | 159.31    | sim    |
| 7319.09 | ArI | 1    |   32 | 91.0345   | sim    |
| 7335.08 | ArI | 1    |   32 | 68.2759   | sim    |
| 7349.92 | ArI | 1    |   32 | 182.069   | sim    |
| 7373.4  | ArI | 1    |   32 | 227.586   | sim    |
| 7376.36 | ArI | 1    |   32 | 91.0345   | sim    |
| 7414.05 | ArI | 1    |   32 | 91.0345   | sim    |
| 7458.74 | ArI | 1    |   32 | 68.2759   | sim    |
| 7463.34 | ArI | 1    |   32 | 45.5172   | sim    |
| 7521.95 | ArI | 1    |   32 | 204.828   | sim    |
| 7545.12 | ArI | 1    |   32 | 91.0345   | sim    |
| 7554.27 | ArI | 1    |   32 | 159.31    | sim    |
| 7608.39 | ArI | 1    |   32 | 91.0345   | sim    |
| 7648.6  | ArI | 1    |   32 | 68.2759   | sim    |
| 7669.14 | ArI | 1    |   32 | 91.0345   | sim    |
| 7676.29 | ArI | 1    |   32 | 113.793   | sim    |
| 7679.45 | ArI | 1    |   32 | 68.2759   | sim    |
| 7687.48 | ArI | 1    |   32 | 22.7586   | sim    |
| 7730.95 | ArI | 1    |   32 | 682.759   | sim    |
| 7734.52 | ArI | 1    |   32 | 113.793   | sim    |
| 7816.04 | ArI | 1    |   32 | 22.7586   | sim    |
| 7822.52 | ArI | 1    |   32 | 182.069   | sim    |
| 7823.93 | ArI | 1    |   32 | 22.7586   | sim    |
| 7828.46 | ArI | 1    |   32 | 91.0345   | sim    |
| 7931.85 | ArI | 1    |   32 | 68.2759   | sim    |
| 7939.21 | ArI | 1    |   32 | 22.7586   | sim    |
| 7975.24 | ArI | 1    |   32 | 22.7586   | sim    |
| 7981.01 | ArI | 1    |   32 | 159.31    | sim    |
| 8020.1  | ArI | 1    |   32 | 22.7586   | sim    |
| 8024.28 | ArI | 1    |   32 | 136.552   | sim    |
| 8052.2  | ArI | 1    |   32 | 22.7586   | sim    |
| 8056    | ArI | 1    |   32 | 45.5172   | sim    |
| 8060.28 | ArI | 1    |   32 | 22.7586   | sim    |
| 8060.6  | ArI | 1    |   32 | 22.7586   | sim    |
| 8072.7  | ArI | 1    |   32 | 113.793   | sim    |
| 8147.21 | ArI | 1    |   32 | 45.5172   | sim    |
| 8155.21 | ArI | 1    |   32 | 68.2759   | sim    |
| 8155.74 | ArI | 1    |   32 | 91.0345   | sim    |
| 8165.67 | ArI | 1    |   32 | 227.586   | sim    |
| 8168.47 | ArI | 1    |   32 | 182.069   | sim    |
| 8191.15 | ArI | 1    |   32 | 68.2759   | sim    |
| 8199.7  | ArI | 1    |   32 | 45.5172   | sim    |
| 8202.76 | ArI | 1    |   32 | 182.069   | sim    |
| 8207.13 | ArI | 1    |   32 | 45.5172   | sim    |
| 8240.6  | ArI | 1    |   32 | 91.0345   | sim    |
| 8252.98 | ArI | 1    |   32 | 91.0345   | sim    |
| 8264.4  | ArI | 1    |   32 | 91.0345   | sim    |
| 8274.8  | ArI | 1    |   32 | 113.793   | sim    |
| 8277.3  | ArI | 1    |   32 | 91.0345   | sim    |
| 8290.57 | ArI | 1    |   32 | 113.793   | sim    |
| 8305.9  | ArI | 1    |   32 | 22.7586   | sim    |
| 8318.7  | ArI | 1    |   32 | 113.793   | sim    |
| 8342.8  | ArI | 1    |   32 | 113.793   | sim    |
| 8355.31 | ArI | 1    |   32 | 91.0345   | sim    |
| 8376.4  | ArI | 1    |   32 | 113.793   | sim    |
| 8378.7  | ArI | 1    |   32 | 91.0345   | sim    |
| 8403.65 | ArI | 1    |   32 | 113.793   | sim    |
| 8420.9  | ArI | 1    |   32 | 91.0345   | sim    |
| 8425.59 | ArI | 1    |   32 | 113.793   | sim    |
| 8445.6  | ArI | 1    |   32 | 113.793   | sim    |
| 8493.26 | ArI | 1    |   32 | 91.0345   | sim    |
| 8507.48 | ArI | 1    |   32 | 136.552   | sim    |
| 8513.4  | ArI | 1    |   32 | 113.793   | sim    |
| 8515.9  | ArI | 1    |   32 | 91.0345   | sim    |
| 8541.09 | ArI | 1    |   32 | 68.2759   | sim    |
| 8559.6  | ArI | 1    |   32 | 113.793   | sim    |
| 8584.9  | ArI | 1    |   32 | 136.552   | sim    |
| 8615.34 | ArI | 1    |   32 | 136.552   | sim    |
| 8654.72 | ArI | 1    |   32 | 227.586   | sim    |
| 8687.86 | ArI | 1    |   32 | 136.552   | sim    |
| 8706.7  | ArI | 1    |   32 | 159.31    | sim    |
| 8708.8  | ArI | 1    |   32 | 113.793   | sim    |
